animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S9.2,4/1/2025,d02,9:55:54,stress_cohort.exp,2399.98,0
S9.2,4/2/2025,d03,16:21:08,stress_cohort.exp,1847.43,6
S9.2,4/3/2025,d04,13:07:37,stress_cohort.exp,2399.98,0
S9.2,4/4/2025,d05,13:57:02,stress_cohort.exp,2272.96,1
S9.2,4/5/2025,d06,14:45:01,stress_cohort.exp,928.85,0
S9.2,4/7/2025,d07,13:30:28,stress_cohort.exp,1780.71,7
S9.2,4/8/2025,d08,12:53:56,stress_cohort.exp,2084.19,17
S9.2,4/9/2025,d09,15:00:01,stress_cohort.exp,1653.07,33
S9.2,4/10/2025,d10,13:18:37,stress_cohort.exp,1269.47,23
S9.2,4/11/2025,d11,13:26:12,stress_cohort.exp,880.87,27
S9.2,4/12/2025,d12,15:00:42,stress_cohort.exp,1602.12,22
S9.2,4/13/2025,d13,14:40:11,stress_cohort.exp,985.80,19
S9.2,4/14/2025,d14,13:45:02,stress_cohort.exp,1046.48,33
S9.3,3/31/2025,d01,15:30:50,stress_cohort.exp,2362.13,2
S9.3,4/1/2025,d02,9:55:54,stress_cohort.exp,2399.98,0
S9.3,4/2/2025,d03,16:21:08,stress_cohort.exp,2344.43,1
S9.3,4/3/2025,d04,13:07:37,stress_cohort.exp,2399.98,0
S9.3,4/4/2025,d05,13:57:02,stress_cohort.exp,2107.92,3
S9.3,4/5/2025,d06,14:45:01,stress_cohort.exp,928.85,0
S9.3,4/7/2025,d07,13:30:28,stress_cohort.exp,2212.69,2
S9.3,4/8/2025,d08,12:53:56,stress_cohort.exp,2307.63,9
S9.3,4/9/2025,d09,15:00:01,stress_cohort.exp,2273.35,33
S9.3,4/10/2025,d10,13:18:37,stress_cohort.exp,1991.08,36
S9.3,4/11/2025,d11,13:26:12,stress_cohort.exp,1665.38,26
S9.3,4/12/2025,d12,15:00:42,stress_cohort.exp,1853.18,30
S9.3,4/13/2025,d13,14:40:11,stress_cohort.exp,1254.36,28
S9.3,4/14/2025,d14,13:45:02,stress_cohort.exp,2060.76,40
S9.4,3/31/2025,d14,15:30:50,stress_cohort.exp,2327.70,2
S9.4,4/1/2025,d01,9:55:54,stress_cohort.exp,2387.00,1
S9.4,4/2/2025,d02,16:21:08,stress_cohort.exp,2399.98,0
S9.4,4/3/2025,d03,13:07:37,stress_cohort.exp,2310.42,3
S9.4,4/4/2025,d04,13:57:02,stress_cohort.exp,2252.85,11
S9.4,4/5/2025,d05,14:45:01,stress_cohort.exp,867.08,8
S9.4,4/7/2025,d06,13:30:28,stress_cohort.exp,1367.76,26
S9.4,4/8/2025,d07,12:53:56,stress_cohort.exp,1830.26,31
S9.4,4/9/2025,d08,15:00:01,stress_cohort.exp,1448.58,32
S9.4,4/10/2025,d09,13:18:37,stress_cohort.exp,1435.73,24
S9.4,4/11/2025,d10,13:26:12,stress_cohort.exp,1350.51,23
S9.4,4/12/2025,d11,15:00:42,stress_cohort.exp,1366.50,31
S9.4,4/13/2025,d12,14:40:11,stress_cohort.exp,1088.29,32
S9.4,4/14/2025,d13,13:45:02,stress_cohort.exp,1398.48,36
S9.4,4/16/2025,d14,16:23:35,stress_cohort.exp,1448.76,33
S10.1,3/31/2025,d01,15:30:50,stress_cohort.exp,2048.59,7
S10.1,4/1/2025,d02,9:55:54,stress_cohort.exp,2339.31,7
S10.1,4/2/2025,d03,16:21:08,stress_cohort.exp,2142.21,6
S10.1,4/3/2025,d04,13:07:37,stress_cohort.exp,2398.39,1
S10.1,4/4/2025,d05,13:57:02,stress_cohort.exp,2049.16,25
S10.1,4/5/2025,d06,14:45:01,stress_cohort.exp,836.99,11
S10.1,4/7/2025,d07,13:30:28,stress_cohort.exp,1795.50,39
S10.1,4/8/2025,d08,12:53:56,stress_cohort.exp,1505.16,40
S10.1,4/9/2025,d09,15:00:01,stress_cohort.exp,1102.47,40
S10.1,4/10/2025,d10,13:18:37,stress_cohort.exp,627.81,40
S10.1,4/11/2025,d11,12:17:32,stress_cohort.exp,1179.44,37
S10.1,4/12/2025,d12,14:21:31,stress_cohort.exp,1012.88,40
S10.1,4/13/2025,d13,,,,39
S10.1,4/16/2025,d14,10:49:15,stress_cohort.exp,739.03,40
S10.2,3/31/2025,d01,15:30:50,stress_cohort.exp,2273.10,3
S10.2,4/1/2025,d02,9:55:54,stress_cohort.exp,2328.26,3
S10.2,4/2/2025,d03,16:21:08,stress_cohort.exp,2369.24,1
S10.2,4/3/2025,d04,13:07:37,stress_cohort.exp,2399.98,0
S10.2,4/4/2025,d05,13:57:02,stress_cohort.exp,2399.98,0
S10.2,4/5/2025,d06,14:45:01,stress_cohort.exp,908.93,1
S10.2,4/7/2025,d07,13:30:28,stress_cohort.exp,2370.60,3
S10.2,4/8/2025,d08,12:53:56,stress_cohort.exp,1881.48,32
S10.2,4/9/2025,d09,15:00:01,stress_cohort.exp,2014.55,25
S10.2,4/10/2025,d10,13:18:37,stress_cohort.exp,1829.99,23
S10.2,4/11/2025,d11,12:17:32,stress_cohort.exp,1963.94,26
S10.2,4/12/2025,d12,14:21:31,stress_cohort.exp,1110.47,40
S10.2,4/13/2025,d13,,,,39
S10.2,4/16/2025,d14,10:49:15,stress_cohort.exp,1293.88,41
S10.3,3/31/2025,d01,15:30:50,stress_cohort.exp,2392.56,2
S10.3,4/1/2025,d02,9:55:54,stress_cohort.exp,2391.45,1
S10.3,4/2/2025,d03,16:21:08,stress_cohort.exp,2399.98,0
S10.3,4/3/2025,d04,13:07:37,stress_cohort.exp,2276.04,11
S10.3,4/4/2025,d05,13:57:02,stress_cohort.exp,2329.86,3
S10.3,4/5/2025,d06,14:45:01,stress_cohort.exp,928.85,0
S10.3,4/7/2025,d07,13:30:28,stress_cohort.exp,2346.48,1
S10.3,4/8/2025,d08,12:53:56,stress_cohort.exp,2035.89,32
S10.3,4/9/2025,d09,15:00:01,stress_cohort.exp,1153.67,40
S10.3,4/10/2025,d10,13:18:37,stress_cohort.exp,1155.69,41
S10.3,4/11/2025,d11,12:17:32,stress_cohort.exp,1067.52,27
S10.3,4/12/2025,d12,14:21:31,stress_cohort.exp,1096.23,40
S10.3,4/13/2025,d13,,,,40
S10.3,4/16/2025,d14,10:49:15,stress_cohort.exp,803.16,40
S10.4,3/31/2025,d01,15:30:50,stress_cohort.exp,1622.15,6
S10.4,4/1/2025,d02,9:55:54,stress_cohort.exp,2356.43,1
S10.4,4/2/2025,d03,16:21:08,stress_cohort.exp,2391.67,1
S10.4,4/3/2025,d04,13:07:37,stress_cohort.exp,2324.97,1
S10.4,4/4/2025,d05,13:57:02,stress_cohort.exp,2238.09,10
S10.4,4/5/2025,d06,14:45:01,stress_cohort.exp,872.95,4
S10.4,4/7/2025,d07,13:30:28,stress_cohort.exp,2268.77,29
S10.4,4/8/2025,d08,12:53:56,stress_cohort.exp,1485.00,40
S10.4,4/9/2025,d09,15:00:01,stress_cohort.exp,1365.02,40
S10.4,4/10/2025,d10,13:18:37,stress_cohort.exp,1529.10,39
S10.4,4/11/2025,d11,12:17:32,stress_cohort.exp,820.49,40
S10.4,4/12/2025,d12,14:21:31,stress_cohort.exp,1106.08,40
S10.4,4/13/2025,d13,,,,40
S10.4,4/16/2025,d14,10:49:15,stress_cohort.exp,1013.20,40
